Text,Translation,Language,Category
"Do you smoke? If yes, how many cigarettes a day?","Apakah anda merokok? Jika ya, berapa banyak batang rokok dalam satu hari?",Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","Apakah anda minum minuman beralkohol? Jika ya, berapa banyak botol dalam seminggu dan apa jenisnya?",Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
"If you have any other problems, you can tell me in English.","Jika anda memiliki keluhan lain, anda bisa mengatakannya dalam bahasa Inggris.",Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
I’m going to examine you.,Saya akan memeriksa anda.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Tell me if you feel more pain.,Katakan jika anda merasa sakit.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Please remove your shirt.,Tolong buka baju anda.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Keep taking deep breaths through your mouth.,Ambil nafas yang dalam dengan mulut anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
"Say ""99"" when I listen with my stethoscope.",Katakan “sembilan puluh sembilan” ketika saya mendengarkan dengan stetoskop.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"Saya akan memasukkan cotton bud (kapas telinga) ini ke lubang hidung anda. Anda akan merasa sedikit tidak nyaman, namun ini tidak menyakitkan",Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
This is to test for coronavirus,Ini untuk mengecek coronavirus,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Tilt your head back,Miringkan kepala anda ke belakang,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Jika anda positif coronavirus, kami akan menelepon anda besok.",Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Jika anda negatif coronavirus, kami akan mengirimkan SMS setelah 3 hari.",Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
"Later, you will do an X-ray","Setelah ini, anda akan melakukan X-ray",Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
There is no sign of infection on your X-ray,Tidak ada tanda infeksi di hasil X-ray anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
You can go back soon.,Anda bisa segera pulang,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
"Wait here, do not leave this area","Tunggu disini, jangan tinggalkan area ini",Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
You have to stay in the hospital for a few days,Anda harus tinggal di rumah sakit untuk beberapa hari,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We need to transfer you to another location.,Kami akan memindahkan anda ke lokasi berbeda.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
I'll give you medicine to make you feel better,Saya akan memberi obat untuk membuat anda merasa lebih baik,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
You must not work for next 5 days.,Anda tidak boleh bekerja dalam 5 hari ke depan.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
You must come back if you have problems with breathing.,Anda harus kembali jika ada masalah pernafasan.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
You must come back if you do not recover completely after 5 days,Anda harus kembali jika anda tidak sembuh total setelah 5 hari.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Read the handout carefully,Baca selebaran ini baik-baik,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Thank you,Terima kasih,Bahasa Indonesia / Bahasa Indonesia,Greetings
Good morning / afternoon / evening,Selamat pagi / siang / malam,Bahasa Indonesia / Bahasa Indonesia,Greetings
I am the nurse,Saya adalah suster anda,Bahasa Indonesia / Bahasa Indonesia,Greetings
I am the doctor,Saya adalah dokter anda,Bahasa Indonesia / Bahasa Indonesia,Greetings
You are in the intensive care unit.,Anda sedang berada di ICU,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Today is Monday,Hari ini hari Senin,Bahasa Indonesia / Bahasa Indonesia,Greetings
Today is Tuesday,Hari ini hari Selasa,Bahasa Indonesia / Bahasa Indonesia,Greetings
Today is Wednesday,Hari ini hari Rabu,Bahasa Indonesia / Bahasa Indonesia,Greetings
Today is Thursday,Hari ini hari Kamis,Bahasa Indonesia / Bahasa Indonesia,Greetings
Today is Friday,Hari ini hari Jumat,Bahasa Indonesia / Bahasa Indonesia,Greetings
Today is Saturday,Hari ini hari Sabtu,Bahasa Indonesia / Bahasa Indonesia,Greetings
Today is Sunday,Hari ini hari Minggu,Bahasa Indonesia / Bahasa Indonesia,Greetings
You are getting better,Anda sedang membaik,Bahasa Indonesia / Bahasa Indonesia,Greetings
We will remove the breathing tube when you are better,Kami akan melepaskan tabung pernapasan setelah anda membaik,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
You can talk after we remove the breathing tube,Anda dapat berbicara setelah kami melepaskan tabung pernapasannya,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Take a deep breath,Tarik nafas dalam-dalam,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Give me a big cough,Coba batuk untuk saya,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Don’t struggle,Jangan melawan,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Don’t move,Jangan bergerak,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Lift up your arm,Angkat lengan anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Lift up your leg,Angkat kaki anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Squeeze my hand,Remas tangan saya,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Show me two fingers,Tunjukkan saya dua jari anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Open your mouth,Buka mulut anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Stick out your tongue,Keluarkan lidah anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Open your eyes,Buka mata anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Saya akan menerangkan mata anda. Ini akan terasa silau,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,Paru-paru anda lemah. Kita akan memasang tabung pernapasan untuk membantu anda bernapas.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
You are going to sleep now,Anda akan tidur sekarang,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are turning you onto your belly to help your lungs expand,Kita sedang membaringkan anda di perut anda untuk membantu paru-paru anda membesar.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are inserting a tube to help you pass urine,Kita sedang memasangkan tabung untuk membantu anda melakukan buang air kecil.,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are inserting a tube through your nose,Kita sedang memasukkan tabung lewat hidung anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are going to give you an injection in your neck to give you medications,Kita akan memberikan anda suntikan di leher untuk memberikan obat anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Kita akan memberikan anda suntikan di tangan untuk mengukur tekanan darah,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We will give you sleeping medications.,Kita akan memberikan anda obat tidur,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We will give you painkillers.,Kita akan memberikan anda obat penghilang rasa sakit,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are giving you medication to keep your blood pressure up.,Kita sedang memberikan anda obat untuk mempertahankan tekanan darah anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are going to remove the breathing tube.,Kita akan melepaskan tabung pernapasan,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are going to suck out your phlegm,Kita akan mengeluarkan dahak anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are going to clean you with a sponge,Kita akan membersihkan anda dengan spons,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Turn left,Hadap ke kiri anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Turn right,Hadap ke kanan anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We will change your diapers,Kita akan mengganti popok anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Lift up your leg,Angkat kaki anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are going to sit you up,Kita akan membantu anda untuk duduk,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are going to shift you up the bed,Kita akan membantu anda ke atas ranjang,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
We are going to clean your mouth,Kita akan membersihkan mulut anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Do not swallow the gargle,Jangan menelan air kumuran anda,Bahasa Indonesia / Bahasa Indonesia,Medical Instructions
Are you in pain?,Apakah kamu sedang merasakan sakit?,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Where is the pain?,Dimana letak sakit nya?,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
"Is it mild, moderate or severe?","Apakah sakit nya terasa ringan, lumayan atau parah?",Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Can you point to the pain?,Apakah anda dapat tunjukkan letak sakitnya?,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Head,Kepala,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
eyes,Mata,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
ears,Telinga,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
nose,Hidung,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
mouth,Mulut,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
throat,Tenggorokan,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
chest,Dada,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
abdomen,Perut,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
back,Punggung,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
arms,Lengan,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
legs,Kaki,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
feet,Kaki bawah,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
1 - one,satu,Bahasa Indonesia / Bahasa Indonesia,General
2 - two,dua,Bahasa Indonesia / Bahasa Indonesia,General
3 - three,tiga,Bahasa Indonesia / Bahasa Indonesia,General
4 - four,empat,Bahasa Indonesia / Bahasa Indonesia,General
5 - five,lima,Bahasa Indonesia / Bahasa Indonesia,General
6 - six,enam,Bahasa Indonesia / Bahasa Indonesia,General
7 - seven,tujuh,Bahasa Indonesia / Bahasa Indonesia,General
8 - eight,delapan,Bahasa Indonesia / Bahasa Indonesia,General
9 - nine,sembilan,Bahasa Indonesia / Bahasa Indonesia,General
10 - ten,sepuluh,Bahasa Indonesia / Bahasa Indonesia,General
0 - zero,nol,Bahasa Indonesia / Bahasa Indonesia,General
January,Januari,Bahasa Indonesia / Bahasa Indonesia,General
Feb,Februari,Bahasa Indonesia / Bahasa Indonesia,General
March,Maret,Bahasa Indonesia / Bahasa Indonesia,General
April,April,Bahasa Indonesia / Bahasa Indonesia,General
May,Mei,Bahasa Indonesia / Bahasa Indonesia,General
June,Juni,Bahasa Indonesia / Bahasa Indonesia,General
July,Juli,Bahasa Indonesia / Bahasa Indonesia,General
August,Agustus,Bahasa Indonesia / Bahasa Indonesia,General
September,September,Bahasa Indonesia / Bahasa Indonesia,General
October,Oktober,Bahasa Indonesia / Bahasa Indonesia,General
November,November,Bahasa Indonesia / Bahasa Indonesia,General
December,Desember,Bahasa Indonesia / Bahasa Indonesia,General
I am a doctor. I do not speak your language. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,"আপনি সিঙ্গাপুরে যে জায়গাতে থাকেন, তার নাম কি?",Bengali / বাংলা,Contact with Others
Is it a cluster?,আপনার কি কোনো বন্ধু ওখানে থাকেন যার কোভিড সংক্রমণ হয়েছে?,Bengali / বাংলা,Contact with Others
How many people are staying in the same room as you?,আপনারা কতজন মিলে এক রুমে থাকেন?,Bengali / বাংলা,Contact with Others
"In the last 14 days, did you meet anyone who has coronavirus?","গত ১৪ দিনে, আপনি কি কারোর সাথে দেখা করেছেন যার কারোনাভাইরাস আছে?",Bengali / বাংলা,Contact with Others
Who? What is your relationship with them?,কে? আপনাদের কি সম্পর্ক?,Bengali / বাংলা,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),কত দিন আগে দেখা হয়েছে?,Bengali / বাংলা,Contact with Others
How long were you with him/her?,আপনাদের দেখাসাক্ষাত কতক্ষন ধরে ছিল?,Bengali / বাংলা,Contact with Others
"In the last 14 days, did you travel out of this country? If yes, tell us the countries in English.","গত ১৪ দিনে, আপনি কি সিঙ্গাপুরের বাইরে ভ্রমণ করেছেন? হয়ে থাকলে আমাকে ইংরেজীতে দেশগুলি বলেন।",Bengali / বাংলা,Contact with Others
I am a doctor. I do not speak Bengali. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,আমি ডাক্তার। আমি বাংলা বলতে পারি না। আমি আপনার সাথে এই ওয়েবসাইটের মাধ্যমে কথা বলব। যত সম্ভব তত আমাকে ইংরেজীতে উত্তর দেন। ধন্যবাদ।,Bengali / বাংলা,Greetings
What's your name?,আপনার নাম কি ?,Bengali / বাংলা,Greetings
Please give me your Work Permit,আমাকে আপনার ওয়ার্ক পারমিট দেন।,Bengali / বাংলা,Greetings
Which company are you employed under?,আপনি কোন কোমপানিতে কাজ করেন?,Bengali / বাংলা,Greetings
What is your supervisor’s name and contact number?,আপনার সুপারভাইজারের নাম এবং ফোন নাম্বার কি?,Bengali / বাংলা,Greetings
Thank you,"ধন্যবাদ, dhonnobad",Bengali / বাংলা,Greetings
Point to the place.,আঙ্গুল দিয়ে দেখান কোথায়।,Bengali / বাংলা,Medical Conditions
Do you have any past medical history?,আপনার কি আগের থেকে কোনো শারীরিক সমস্যা আছে?,Bengali / বাংলা,Medical Conditions
Point to which ones. Asthma Pneumonia Hypertension Hyperlipidemia Diabetes Heart problems Kidney problems,আঙ্গুল দিয়ে দেখান কোনটা। হাঁপানি/অ্যাজমা নিউমোনিয়া ব্লাড প্রেসার কল্সেটেরোল সুগার হার্টের সমস্যা কিডনির সমস্যা,Bengali / বাংলা,Medical Conditions
Do you have a drug allergy?,আপনার কি কোনো ওষুধের অ্যালার্জি আছে?,Bengali / বাংলা,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","আপনি কি ধুমপান করেন? করে থাকলে, এক দিনে আপনার কয়টা সিগারেট শেষ হয়?",Bengali / বাংলা,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","আপনি কি মাঝেমাঝে মদ্য পান করেন? তাহলে সপ্তাহে কতটুকু খান, কি ধরনের মদ, সম্ভব হলে ইংরেজীতে বলেন ।",Bengali / বাংলা,Medical Conditions
How do you feel emotionally?(Use thumbs up and down),আপনার মনের অবস্থা কেমন?,Bengali / বাংলা,Medical Conditions
Do you have suicidal thoughts?,আপনার কি আত্মহত্যার চিন্তা মাথায় আসে?,Bengali / বাংলা,Medical Conditions
"If you have any other problems, you can tell me in English.",আপনার অন্য কোনো সমস্যা থাকলে আমাকে ইংরেজীতে বলুন।,Bengali / বাংলা,Medical Instructions
I’m going to examine you.Tell me if you feel more pain.Please remove your shirt.,আমি এখন আপনাকে পরীক্ষা করবো।বেশি ব্যথা পেলে বলবেন।আপনার সার্টটা খুলেন।,Bengali / বাংলা,Medical Instructions
Keep taking deep breaths through your mouth.,মুখ দিয়ে বড় শ্বাস নিতে থাকেন।,Bengali / বাংলা,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","স্টেথো যখনই বুকে দিব তখন “৯, ৯” বলবেন।",Bengali / বাংলা,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,আমি এই তুলাটা আপনার নাকের মধ্যে ঢুকিয়ে পরীক্ষা করবো।আপনি অল্প অস্বস্তি বোধ করবেন তবে খুব বেশি ব্যথা হবে না।,Bengali / বাংলা,Medical Instructions
This is to test for coronavirus,এটি করোনাভাইরাস পরীক্ষার জন্য।,Bengali / বাংলা,Medical Instructions
Tilt your head back,আপনার মাথাটা অল্প পিছন দিকে কাত করুন।,Bengali / বাংলা,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","যদি করোনাভাইরাস টেস্ট পসিটিভ হয়, আমরা আগামীকালের মধ্যে আপনাকে ফোন করব।",Bengali / বাংলা,Medical Instructions
"If coronavirus negative, we send you SMS after 3 days","যদি করোনভাইরাস টেস্ট নেগেটিভ হয়, তবে আমরা আপনাকে তিন দিনের মধ্যে “স এম স” (SMS) করব।",Bengali / বাংলা,Medical Instructions
"Later, you will do an X-ray",পরে আপনার এক্স-রে হবে।,Bengali / বাংলা,Medical Instructions
There is no sign of infection on your X-ray,আপনার এক্স-রেতে কোনও ইনফেকশন নেই।,Bengali / বাংলা,Medical Instructions
You can go back soon.,আপনি একটু পরেই ফিরে যেতে পারবেন।,Bengali / বাংলা,Medical Instructions
"Wait here, do not leave this area","এখানে অপেক্ষা করুন, আপাতত এখান থেকে চলে যাবেন না",Bengali / বাংলা,Medical Instructions
You have to stay in the hospital for a few days,আপনাকে কিছুদিন হাসপাতালে থাকতে হবে।,Bengali / বাংলা,Medical Instructions
I'll give you medicine to make you feel better,আমি আপনাকে ওষুধ দেব। তাতে আপনি আরাম বোধ করবেন।,Bengali / বাংলা,Medical Instructions
You must not work for next 5 days.See sidebar for more translation on quarantine measures),পরবর্তী ৫ দিন আপনার কাজ করা উচিত নয়।,Bengali / বাংলা,Medical Instructions
You must come back if you have problems with breathing.,"আপনার শ্বাস কষ্ট হলে, আপনাকে অবশ্যই ফেরত আসতে হবে। ৫ দিন",Bengali / বাংলা,Medical Instructions
You must come back if you do not recover completely after 5 days,পরেও যদি আপনি সম্পুর্ণ সুস্থ না হন তবে অবশ্যই ফেরত আসতে হবে।,Bengali / বাংলা,Medical Instructions
Read the handout carefully,কাগজটা ভাল করে পড়ুন।,Bengali / বাংলা,Medical Instructions
You have tested positive for coronavirus.,আপনার কোভিড পরীক্ষা করা হয়েছে এবং আপনার কোভিড হয়েছে,Bengali / বাংলা,Medical Instructions
We will take you to the hospital.,আমরা আপনাকে হাসপাতাল নিয়ে যাবো,Bengali / বাংলা,Medical Instructions
We will transfer to you an isolation facility.,আমরা আপনাকে আলাদা করে রাখতে অন্য এক জায়গায় নিয়ে যাবো,Bengali / বাংলা,Medical Instructions
Do you have a fever?,আপনার কি জ্বর আছে?,Bengali / বাংলা,Symptoms
How many days?,কতদিন ধরে ?,Bengali / বাংলা,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?",আপনি কি থার্মোমিটার দিয়ে জ্বর মেপেছেন? করে থাকলে সবচেয়ে বেশি তাপমাত্রা কত ছিল?,Bengali / বাংলা,Symptoms
Runny nose?,সর্দি আছে?,Bengali / বাংলা,Symptoms
Cough?,কাশি?,Bengali / বাংলা,Symptoms
Sore throat?,গলা ব্যথা?,Bengali / বাংলা,Symptoms
Difficulty breathing?,শ্বাস কষ্ট?,Bengali / বাংলা,Symptoms
Anosmia,নাকে কি গন্ধ কম পাচ্ছেন?,Bengali / বাংলা,Symptoms
Ageusia,মুখে কি স্বাদ কম লাগে?,Bengali / বাংলা,Symptoms
Do you have diarrhoea? How many times a day?,আপনার কি পেট খারাপ হচ্ছে? হলে এক দিনে কত বার হয়?,Bengali / বাংলা,Symptoms
Rash?,শরীরের কোনো জায়গায় কোনো রেশ বা চুলকানি আছে?,Bengali / বাংলা,Symptoms
"Any pain? Specifically, any chest pain?","আপনার কি শরীরে কোনো জায়গায় ব্যাথা আছে? বিষেশ করে, কোন বুক ব্যথা আছে?",Bengali / বাংলা,Symptoms
I am a doctor. I do not speak your language. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,ကျနော််ဆရာဝန်တယောက်ပါ။ ဗမာစကားမပြောတတ်ပါဘူး ဒီwebsiteနဲ့အပြန်အလှန်စကားပြောပါမယ်။ အင်္ဂလိပ်လိုအတတ်နိုင်ဆုံ‌ေဖြ‌ပေးပါ။,"Burmese / ဗမာ",Greetings
What's your name?,နာမည်ဘယ်လိုခေါ််ပါသလဲ။,"Burmese / ဗမာ",Greetings
Please give me your Identitification Card / Work Permit,Identitification Card / Work Permit ‌‌ပြောပါ။,"Burmese / ဗမာ",Greetings
"In the last 14 days, did you meet anyone who has coronavirus?",လွန်ခဲ.‌သော ၁၄ရက်အတွင်း ကိုရိုနာဗိုင်းရပ်စ်‌ေရောဂါရှိသူနှင်. ထိတွေ.ဘူးခြင်းရှိပါသလား။,"Burmese / ဗမာ",Contact with Others
Who? What is your relationship with them?,ရောဂါရှိသူ၏အမည်နှင့် ထိုသူနှင်.မည်သို့ပါတ်သက် သည်ကိုဖေါ်််််ပြပါ။,"Burmese / ဗမာ",Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),လွန်ခဲ့‌သော ဘယ်နှရက်ခန်.က ‌ထိုသူနှင်.‌တွေ.ဆုံခဲ.ပါသလဲ။ (‌အောက်တွင်ဖေါ်် ပြထား‌သောဇယားအတွင်း နံပါတ်ကိုရွေးချယ်ပေးနိုင်ပါသည်။,"Burmese / ဗမာ",Contact with Others
How long were you with him/her?,အချိန် မည်မျှကြာမြင်.စွာထိုသူနှင်.အတူတကွရှိ ခဲ.ပါသလဲ။,"Burmese / ဗမာ",Contact with Others
"In the last 14 days, did you travel out of this country? If yes, tell us the countries in English.",လွန်ခဲ.‌သော ၁၄ရက်အတွင်း စင်ကာပူနိုင်ငံပြင်ပသို. ခရီးသွားခဲ.ခြင်းရှိပါသလား။ သွားလာခဲ.ပါက သွားခဲ.‌ေသော နိုင်ငံများကိုအင်ဂလိပ်လိုဖေါ််််််ပြပေးပါ။,"Burmese / ဗမာ",Contact with Others
Do you have a fever?,အဖျားရှိပါသလား။,"Burmese / ဗမာ",Symptoms
"How many days?
(You may use this for multiple symptoms)",ဘယ်နှရက်ခန်.‌ဖျားနာ‌နေခဲ.ပါသလဲ။ အခြား‌သော‌‌ဝေဒနာများခံစားရပါက ‌ဖေါ်််််ပြ ‌ပေးပါ။,"Burmese / ဗမာ",Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?",အဖျားကိုသာမိုမီတာ သုံး၍တိုင်းတာခဲ.ပါသလား။ အမြင်.ဆုံးအပူချိန်ကို ‌ဖေါ်် ပြပေးပါ။,"Burmese / ဗမာ",Symptoms
Runny nose?,နှာ‌စေး‌နေပါသလား။,"Burmese / ဗမာ",Symptoms
Cough?,ချောင်းဆိုးနေပါသလား။,"Burmese / ဗမာ",Symptoms
Sore throat?,လည်ပင်းနာ‌နေပါသလား။,"Burmese / ဗမာ",Symptoms
Difficulty breathing?,အသက်ရှူကြပ်‌နေပါသလား။,"Burmese / ဗမာ",Symptoms
Do you have diarrhoea? How many times a day?,ဝမ်းပျက်နေပါသလား။တစ်ရက်ဘယ်နှကြိမ်သွားပါသလဲ။,"Burmese / ဗမာ",Symptoms
Rash?,အင်ပျင်များ ‌ကိုယ်‌ေပေါ််တွင် ‌ေပေါ်် လာပါသလား။,"Burmese / ဗမာ",Symptoms
"Any pain? Specifically, any chest pain?",ကိုယ်လက်များနာကျင်နေပါသလား။ အထူးသဖြင်ရင်ဘတ်အောင်.ခြင်းနာခြင်းများဖြစ်ပါသလား။,"Burmese / ဗမာ",Symptoms
Point to the place.,နာကျင်သော ‌နေရာကိုညွှန်ပြ ‌ေပေးပါ။,"Burmese / ဗမာ",Symptoms
